date,open,high,low,close,volume,dividend_amount
1/3/2005,187,190,185.15,188.95,276055,0
1/4/2005,188.05,191.3,187,188.05,195660,0
1/5/2005,189,189.25,176,183.6,275045,0
1/6/2005,181,187.9,177,182.5,257265,0
1/7/2005,185.8,190.3,182.25,189.1,387115,0
1/10/2005,192,194.65,190,192.5,360065,0
1/11/2005,192,193.3,183.05,187.45,173535,0
1/12/2005,187.1,187.1,178,180.35,187490,0
1/13/2005,181,184,169.1,174.95,1484210,0
1/14/2005,177.8,190.6,176.1,188.1,755565,0
1/17/2005,191.8,201.85,186.05,196.55,1744810,0
1/18/2005,198.25,207.9,196.05,197.25,1642555,0
1/19/2005,198.55,202,193.55,195.45,376130,0
1/20/2005,196,196,188.5,191.4,224105,0
1/24/2005,191,209.3,189,205.05,924070,0
1/25/2005,205,205.95,197,199.05,443725,0
1/27/2005,200.8,207.45,199.2,206.25,571995,0
1/28/2005,207.1,208,203.25,203.9,268210,0
1/31/2005,204.2,209,203.4,206.2,492775,0
2/1/2005,209,209,198,204.55,587750,0
2/2/2005,205.5,219.45,201.55,214.95,1035935,0
2/3/2005,215,225.8,214.15,224.55,973145,0
2/4/2005,225,231,220,224.6,759345,0
2/7/2005,227.75,229,220.05,221.95,228065,0
2/8/2005,222,232.45,221.6,229.3,453915,0
2/9/2005,231.8,232,225,230.95,349285,0
2/10/2005,228.05,229.95,223,225.55,110500,0
2/11/2005,227,232,226.5,230.7,195155,0
2/14/2005,233.8,235.2,226,232.4,300935,0
2/15/2005,229.05,233,229.05,231.1,113280,0
2/16/2005,233.75,234.5,228,232.3,432445,0
2/17/2005,230,231.8,218.05,219.8,301830,0
2/18/2005,222,227,220,220.7,756940,0
2/21/2005,225,236.4,220.05,230.55,437440,0
2/22/2005,230.55,232,224,230.6,195175,0
2/23/2005,229,231.4,224,226.55,93065,0
2/24/2005,225.5,231.4,225.5,228.9,1364175,0
2/25/2005,232.45,234.45,224,225.65,366360,0
2/28/2005,228,256,228,241.05,1619520,0
3/1/2005,243.05,243.05,225,226.1,1126305,0
3/2/2005,228.5,233.7,226.1,227.9,469635,0
3/3/2005,231,232.45,227.1,228.25,243430,0
3/4/2005,230.8,234,229,232.1,915410,0
3/7/2005,235,244,234,235.95,589080,0
3/8/2005,240,247.9,237.5,246.25,687555,0
3/9/2005,247,256,244,249.7,1392820,0
3/10/2005,251,263.6,251,257.1,1400190,0
3/11/2005,258.45,263,254,260.85,1551960,0
3/14/2005,263.85,269.1,259.75,260.05,969585,0
3/15/2005,262.95,267.05,249,256.05,1223195,0
3/16/2005,259,267,241.05,244.8,2104670,0
3/17/2005,245.25,252,240,241.2,761780,0
3/18/2005,243.5,245.75,238,240.1,655585,0
3/21/2005,244,245,240,240.3,179460,0
3/22/2005,242,242,233.05,234.6,718725,0
3/23/2005,232,237.85,232,236.9,6188810,0
3/24/2005,237,238,228.35,233.55,1822745,0
3/28/2005,235,237.5,230,231.65,245500,0
3/29/2005,234.25,234.25,223.05,226.15,5221545,0
3/30/2005,230,265,223.5,240.85,229355,0
3/31/2005,240,249.8,229.15,242.05,228630,0
4/1/2005,240,241.7,235.9,239.05,86115,0
4/4/2005,239.95,240.9,237,237.1,64960,0
4/5/2005,239.25,243.8,232.2,236.25,150225,0
4/6/2005,239.85,239.85,232.7,234.95,131540,0
4/7/2005,238.45,239.6,232.25,234.15,182345,0
4/8/2005,236.8,236.8,229,229.15,84330,0
4/11/2005,229.15,229.9,225.55,227.95,95305,0
4/12/2005,229.25,229.3,224.05,227.25,45385,0
4/13/2005,229,229.95,225.55,226.7,63745,0
4/15/2005,223.05,227.85,221.6,226.05,63960,0
4/18/2005,222,225.6,218.2,223.5,57070,0
4/19/2005,235,236,225,231.75,408140,0
4/20/2005,232,233.95,226.25,228.8,343750,0
4/21/2005,232,239,229.05,236.35,740755,0
4/22/2005,239.3,243,235.7,238.45,311970,0
4/25/2005,242.4,249.95,238.25,247.05,268575,0
4/26/2005,247.5,248,239.95,241,137110,0
4/27/2005,240,242.5,236,240.1,88945,0
4/28/2005,239.5,242.7,230,232.75,211855,0
4/29/2005,234,234,228,230.1,84270,0
5/2/2005,230,236.95,228.1,231.65,588910,0
5/3/2005,234.25,234.35,230,230.95,453445,0
5/4/2005,231.6,232.75,228,230.95,224905,0
5/5/2005,240,254.4,240,242.55,846435,0
5/6/2005,244,245.45,236.5,239,599275,0
5/9/2005,243,244.9,238,242.2,113775,0
5/10/2005,241,241,236,237.9,1034880,0
5/11/2005,237,237,230.9,231.9,2796975,0
5/12/2005,232,240,230.05,233,7330360,0
5/13/2005,237.75,237.75,230.2,231.65,311280,0
5/16/2005,233,233,226.5,227.35,264115,0
5/17/2005,230.8,231,218.5,221.4,1157045,0
5/18/2005,225.4,225.4,218.5,221.55,248480,0
5/19/2005,224.8,226,218.6,220,402080,0
5/20/2005,219.9,222,217,220.05,570335,0.56
5/23/2005,221,225.8,220.1,225,540875,0
5/24/2005,226.7,229.95,220.1,223.95,835270,0
5/25/2005,218.5,226,218.5,224.9,503890,0
5/26/2005,224.9,226,218.6,221.5,116735,0
5/27/2005,222,226.7,219,224.5,958330,0
5/30/2005,228.5,229,220.15,221.15,133645,0
5/31/2005,223.5,241.6,221.95,239.8,1609570,0
6/1/2005,238,241.4,235.2,237.65,265230,0
6/2/2005,239.95,240,227,227.65,225160,0
6/3/2005,227,235.5,227,232.2,262255,0
6/6/2005,234,235.45,226.35,227.3,571035,0
6/7/2005,230,234.3,229,232,290385,0
6/8/2005,234,242,232.1,235.35,358085,0
6/9/2005,239,239,228.1,232,203845,0
6/10/2005,230.05,235.8,229.5,230.15,358530,0
6/13/2005,231,233.5,229.15,229.65,63515,0
6/14/2005,230.5,236.65,228.65,229.15,265260,0
6/15/2005,229,232.9,229,232,387520,0
6/16/2005,234.5,236.5,230.1,231.85,559765,0
6/17/2005,231.85,237.5,231.85,234.8,26093055,0
6/20/2005,237,239,232.25,235.15,383220,0
6/21/2005,237,237,232.3,234.15,297975,0
6/22/2005,235.5,242,234.35,241.5,455775,0
6/23/2005,243,248,239.5,240.25,714085,0
6/24/2005,240.25,244.5,239.05,240.1,308350,0
6/27/2005,240.05,244.45,239,242.7,222045,0
6/28/2005,242,243.85,235.1,236.55,149665,0
6/29/2005,236,244.1,233.95,242.4,356310,0
6/30/2005,243,249.55,236,247.15,523785,0
7/1/2005,246.95,251.9,245,248.35,427865,0
7/4/2005,245,249.9,242.05,243.7,147255,0
