sc.sub_industry,sp.symbol,max_volume
Banks,BAC,8.596434E8
Integrated Telecommunications Services,VZ,6.166205E8
Networking Equipment,CSCO,5.600402E8
Automobile Manufacturers,F,4.808795E8
Computer Hardware,AAPL,4.702495E8
Automobile Manufacturers,GM,4.570443E8
Alternative Carriers,LVLT,4.449942E8
Computer Hardware,HPQ,4.420123E8
Industrial Conglomerates,GE,4.313326E8
Internet Software & Services,FB,3.654579E8
Banks,C,3.267829E8
Property & Casualty Insurance,AIG,3.225104E8
Systems Software,MSFT,3.193179E8
Internet Software & Services,NFLX,3.155418E8
Pharmaceuticals,PFE,2.844681E8
Oil & Gas Exploration & Production,MRO,2.739966E8
Oil & Gas Refining & Marketing & Transportation,KMI,2.515288E8
Health Care Equipment,BSX,2.43874E8
Internet Software & Services,YHOO,2.338721E8
Integrated Telecommunications Services,FTR,2.231656E8
Semiconductor Equipment,AMAT,2.194152E8
Building Products,JCI,2.190575E8
Banks,JPM,2.172942E8
Airlines,DAL,2.063723E8
Internet Software & Services,V,2.022308E8
Semiconductors,INTC,1.990026E8
Integrated Oil & Gas,CHK,1.889664E8
Internet Software & Services,EBAY,1.835567E8
Application Software,ORCL,1.835039E8
Publishing,FOXA,1.666871E8
Banks,HBAN,1.617461E8
Diversified Financial Services,RF,1.552782E8
Semiconductors,MU,1.539061E8
Copper,FCX,1.53828E8
Biotechnology,GILD,1.4644E8
Banks,WFC,1.449857E8
Airlines,AAL,1.377672E8
Life & Health Insurance,MET,1.349932E8
Home Entertainment Software,ATVI,1.330824E8
Semiconductors,QCOM,1.308922E8
Consumer Finance,SYF,1.289819E8
Integrated Telecommunications Services,T,1.259987E8
Personal Products,PG,1.237357E8
Pharmaceuticals,ABBV,1.227402E8
Cable & Satellite,DISCA,1.191758E8
Integrated Oil & Gas,XOM,1.180235E8
Retail REITs,GGP,1.168357E8
Banks,FITB,1.149686E8
Railroads,CSX,1.105713E8
Application Software,ADBE,1.087524E8
Internet Software & Services,MA,1.0838E8
Investment Banking & Brokerage,GS,1.020437E8
Electric Utilities,PPL,1.016546E8
Oil & Gas Exploration & Production,WMB,1.01131E8
Soft Drinks,KO,9.89675E7
Health Care Equipment,JNJ,9.84402E7
Oil & Gas Equipment & Services,HAL,9.78479E7
Oil & Gas Exploration & Production,DVN,9.71775E7
Regional Banks,CFG,9.48753E7
Specialty Stores,SPLS,9.38706E7
Oil & Gas Exploration & Production,SWN,9.32932E7
Health Care Equipment,BAX,9.24056E7
Tobacco,RAI,9.21903E7
Broadcasting & Cable TV,CBS,9.00006E7
IT Consulting & Other Services,ACN,8.96559E7
Computer Storage & Peripherals,STX,8.96297E7
Banks,KEY,8.8248E7
Semiconductors,NVDA,8.73328E7
Electronic Components,GLW,8.71571E7
Oil & Gas Equipment & Services,SLB,8.71306E7
Broadcasting & Cable TV,DIS,8.70485E7
Electronic Manufacturing Services,TEL,8.67385E7
Apparel; Accessories & Luxury Goods,NKE,8.63396E7
Personal Products,COTY,8.62693E7
Health Care Distributors,BMY,8.62126E7
Industrial Conglomerates,IR,8.54269E7
Computer & Electronics Retail,BBY,8.5048E7
Apparel; Accessories & Luxury Goods,UAA,8.43412E7
Drug Retail,WBA,8.41301E7
Cable & Satellite,CMCSA,8.32698E7
Oil & Gas Exploration & Production,COP,8.14253E7
Health Care Facilities,HCA,8.11484E7
Hypermarkets & Super Centers,WMT,8.08981E7
Diversified Chemicals,DOW,7.98494E7
Food Retail,KR,7.94286E7
IT Consulting & Other Services,XRX,7.9286E7
Health Care Equipment,ABT,7.81083E7
Oil & Gas Drilling,RIG,7.77801E7
Health Care Distributors,ESRX,7.77761E7
Oil & Gas Exploration & Production,COG,7.61766E7
IT Consulting & Other Services,CTSH,7.61332E7
Banks,PNC,7.46809E7
Pharmaceuticals,MRK,7.42944E7
Packaged Foods & Meats,MDLZ,7.41966E7
Property & Casualty Insurance,CB,7.32352E7
Restaurants,SBUX,7.22062E7
Integrated Telecommunications Services,CTL,7.19436E7
Food Distributors,SYY,7.16839E7
Broadcasting & Cable TV,TWX,6.97441E7
Oil & Gas Equipment & Services,BHI,6.96916E7
Aerospace & Defense,ARNC,6.93229E7
Apparel; Accessories & Luxury Goods,KORS,6.92374E7
Fertilizers & Agricultural Chemicals,CF,6.8882E7
Consumer Finance,AXP,6.84171E7
Diversified Financial Services,ICE,6.8379E7
Airlines,UAL,6.78262E7
Publishing,FOX,6.72386E7
Pharmaceuticals,ZTS,6.67891E7
Soft Drinks,MNST,6.6759E7
General Merchandise Stores,DG,6.61372E7
Health Care Equipment,MDT,6.54378E7
Health Care Technology,CERN,6.4692E7
Internet Software & Services,CRM,6.45628E7
Oil & Gas Refining & Marketing & Transportation,SE,6.40128E7
Apparel; Accessories & Luxury Goods,HBI,6.37975E7
Internet Software & Services,WU,6.27402E7
