sp.dt,sc.sector,total_volume
1/10/2011,Information Technology,7.339987E8
1/10/2011,Financials,5.533266E8
1/10/2011,Consumer Discretionary,4.043644E8
1/10/2011,Health Care,3.290464E8
1/10/2011,Industrials,2.579932E8
1/10/2011,Consumer Staples,1.659885E8
1/10/2011,Energy,1.591359E8
1/10/2011,Utilities,1.084176E8
1/10/2011,Telecommunications Services,1.00424E8
1/10/2011,Materials,9.55251E7
1/10/2011,Real Estate,6.36828E7
1/10/2012,Information Technology,8.109841E8
1/10/2012,Financials,7.580654E8
1/10/2012,Consumer Discretionary,4.998833E8
1/10/2012,Industrials,2.785869E8
1/10/2012,Health Care,2.660338E8
1/10/2012,Energy,1.880367E8
1/10/2012,Consumer Staples,1.548758E8
1/10/2012,Materials,9.5597E7
1/10/2012,Utilities,7.84319E7
1/10/2012,Telecommunications Services,6.73944E7
1/10/2012,Real Estate,5.82539E7
1/10/2013,Information Technology,8.273404E8
1/10/2013,Financials,5.545008E8
1/10/2013,Consumer Discretionary,4.018965E8
1/10/2013,Industrials,2.316226E8
1/10/2013,Health Care,2.253206E8
1/10/2013,Energy,1.795045E8
1/10/2013,Consumer Staples,1.584257E8
1/10/2013,Materials,8.0139E7
1/10/2013,Utilities,6.99271E7
1/10/2013,Real Estate,5.03745E7
1/10/2013,Telecommunications Services,4.80394E7
1/10/2014,Information Technology,5.523199E8
1/10/2014,Consumer Discretionary,3.318414E8
1/10/2014,Financials,3.052723E8
1/10/2014,Industrials,2.250751E8
1/10/2014,Health Care,1.905283E8
1/10/2014,Consumer Staples,1.468704E8
1/10/2014,Energy,1.460161E8
1/10/2014,Utilities,9.38562E7
1/10/2014,Materials,6.11265E7
1/10/2014,Real Estate,5.49501E7
1/10/2014,Telecommunications Services,4.82758E7
1/11/2010,Information Technology,7.107065E8
1/11/2010,Financials,5.282574E8
1/11/2010,Consumer Discretionary,4.900705E8
1/11/2010,Industrials,3.448443E8
1/11/2010,Health Care,2.310209E8
1/11/2010,Energy,1.963814E8
1/11/2010,Consumer Staples,1.848949E8
1/11/2010,Materials,9.73451E7
1/11/2010,Utilities,7.84846E7
1/11/2010,Telecommunications Services,5.83866E7
1/11/2010,Real Estate,4.95266E7
1/11/2011,Information Technology,7.31946E8
1/11/2011,Financials,5.327938E8
1/11/2011,Consumer Discretionary,3.971002E8
1/11/2011,Industrials,2.307785E8
1/11/2011,Health Care,2.187099E8
1/11/2011,Energy,1.634717E8
1/11/2011,Consumer Staples,1.571435E8
1/11/2011,Telecommunications Services,1.496576E8
1/11/2011,Materials,9.25112E7
1/11/2011,Utilities,7.91484E7
1/11/2011,Real Estate,5.73021E7
1/11/2012,Financials,7.401388E8
1/11/2012,Information Technology,6.661787E8
1/11/2012,Consumer Discretionary,4.267326E8
1/11/2012,Industrials,2.304902E8
1/11/2012,Energy,2.191642E8
1/11/2012,Health Care,2.143502E8
1/11/2012,Consumer Staples,1.575956E8
1/11/2012,Materials,8.78585E7
1/11/2012,Utilities,7.31387E7
1/11/2012,Telecommunications Services,6.50177E7
1/11/2012,Real Estate,5.60097E7
1/11/2013,Information Technology,7.391091E8
1/11/2013,Financials,4.571807E8
1/11/2013,Consumer Discretionary,3.617805E8
1/11/2013,Health Care,1.958358E8
1/11/2013,Industrials,1.871508E8
1/11/2013,Consumer Staples,1.41585E8
1/11/2013,Energy,1.295263E8
1/11/2013,Materials,7.23673E7
1/11/2013,Utilities,6.41452E7
1/11/2013,Telecommunications Services,4.75808E7
1/11/2013,Real Estate,4.2497E7
