symbol,avg_close
A,34.08
AAL,23.87
AAP,103.77
AAPL,79.4
ABBV,55.47
ABC,60.96
ABT,34.63
ACN,75.21
ADBE,55.25
ADI,46.35
ADM,36.8
ADP,62.63
ADS,177.36
ADSK,44.66
AEE,36.27
AEP,47.56
AES,12.24
AET,67.64
AFL,56.15
AGN,151.84
AIG,44.62
AIV,30.46
AIZ,54.73
AJG,38.84
AKAM,47.56
ALB,59.53
ALK,38.03
ALL,48.15
ALLE,59.0
ALXN,108.81
AMAT,16.81
AME,39.72
AMG,143.5
AMGN,105.36
AMP,82.18
AMT,76.65
AMZN,337.9
AN,43.67
ANTM,93.78
AON,70.75
APA,82.45
APC,74.15
APD,100.34
APH,39.69
ARNC,9.02
ATVI,19.49
AVB,140.16
AVGO,69.07
AVY,46.33
AWK,43.17
AXP,64.23
AYI,113.74
AZO,469.01
BA,102.48
BAC,13.57
BAX,35.2
BBBY,58.3
BBT,32.73
BBY,31.09
BCR,132.87
BDX,108.16
BEN,43.06
BHI,53.4
BIIB,207.35
BK,31.92
BLK,261.79
BLL,50.78
BMY,44.53
BSX,11.43
BWA,40.74
BXP,109.04
C,43.98
CA,26.97
CAG,25.04
CAH,57.89
CAT,86.43
CB,88.79
CBG,24.72
CBS,41.35
CCI,66.14
CCL,40.04
CELG,67.61
CERN,45.3
CF,37.49
CFG,24.81
CHD,31.08
CHK,18.8
CHRW,65.55
CHTR,117.85
CI,79.32
CINF,45.04
CL,56.56
CLX,88.53
CMA,39.89
CMCSA,41.83
CME,72.74
CMG,411.25
CMI,112.29
CMS,27.51
CNC,34.14
CNP,20.3
COF,62.2
COG,23.15
COH,47.34
COL,70.46
COO,112.6
COP,56.05
COST,109.6
COTY,21.62
CPB,42.42
CRM,48.77
CSCO,23.25
CSRA,26.91
CSX,25.44
CTAS,56.33
CTL,35.11
CTSH,43.53
CTXS,68.09
CVS,63.67
CVX,103.36
CXO,98.79
D,59.26
DAL,25.56
DD,54.03
DE,81.77
DFS,42.09
DG,53.61
DGX,62.03
DHI,20.4
DHR,51.14
DIS,67.34
DISCA,29.17
DISCK,26.78
DLPH,66.56
DLR,66.64
DLTR,52.35
DNB,96.08
DOV,60.53
DOW,39.8
DPS,56.09
DRI,53.12
DTE,66.93
DUK,67.07
DVA,56.49
DVN,59.8
EA,35.21
EBAY,19.88
ECL,84.42
ED,58.85
EFX,66.75
EIX,50.46
EL,64.65
EMN,61.53
EMR,54.69
ENDP,43.82
EOG,70.55
EQIX,193.3
EQR,60.32
EQT,66.35
ES,41.91
ESRX,64.27
ESS,166.1
ETFC,18.21
ETN,56.37
ETR,71.56
EVHC,31.86
EW,52.18
EXC,35.96
EXPD,44.15
EXPE,72.21
EXR,45.23
F,13.71
FAST,40.66
FB,77.51
FBHS,46.29
FCX,31.03
FDX,121.22
FE,37.88
FFIV,103.89
FIS,46.28
FISV,55.06
FITB,16.8
FL,40.04
FLIR,28.99
FLR,58.37
FLS,48.28
FMC,50.53
FOX,24.35
FOXA,24.12
FRT,111.31
FSLR,66.22
FTI,42.27
FTR,5.78
FTV,51.67
GD,98.5
GE,23.15
GGP,20.49
GILD,57.69
GIS,47.54
GLW,17.85
GM,30.99
GOOG,459.62
GOOGL,467.09
GPC,73.2
GPN,36.3
GPS,29.77
GRMN,41.33
GS,155.59
GT,20.03
GWW,201.42
HAL,42.1
HAR,69.51
HAS,52.78
HBAN,8.12
HBI,16.39
HCA,63.2
HCN,60.23
HCP,35.59
HD,75.31
HES,65.62
HIG,31.54
HOG,49.04
HOLX,24.7
HON,77.81
HP,62.82
HPE,18.34
HPQ,14.16
HRB,23.52
HRL,21.84
HRS,60.38
HSIC,103.73
HST,17.2
HSY,78.29
HUM,109.16
IBM,168.78
ICE,35.36
IDXX,56.04
IFF,82.74
ILMN,104.21
INTC,26.67
INTU,71.18
IP,38.58
IPG,15.36
IR,47.24
IRM,29.44
ISRG,461.97
ITW,73.2
IVZ,28.85
JBHT,63.62
JCI,42.77
JEC,46.52
JNJ,84.68
JNPR,24.71
JPM,51.22
JWN,54.89
K,60.81
KEY,10.75
KHC,80.12
KIM,21.4
KLAC,54.77
KMB,91.57
KMI,31.85
KMX,42.71
KO,37.71
