symbol,first_close,last_close
A,30.200287,44.88
AAL,11.47,38.49
AAP,62.34,152.96
AAPL,48.92143,103.13
ABBV,34.0,63.36
ABC,34.73,85.31
ABT,23.00159,41.01
ACN,48.11,110.39
ADBE,32.96,99.38
ADI,37.7,59.62
ADM,32.09,42.02
ADP,42.25637,86.57
ADS,71.79,208.66
ADSK,40.87,66.84
AEE,27.98,48.06
AEP,35.76,63.71
AES,12.97,12.33
AET,32.22,115.55
AFL,55.13,72.4
AGN,53.45,236.39
AIG,57.39,58.67
AIV,25.31,43.83
AIZ,38.24,89.23
AJG,28.95,49.17
AKAM,48.79,52.5
ALB,55.05,76.82
ALK,15.7375,68.86
ALL,30.99,67.96
ALLE,45.73,66.83
ALXN,41.4,124.92
AMAT,13.77,28.86
AME,26.086666,47.78
AMG,103.25,144.01
AMGN,56.44,166.55
AMP,60.01,99.41
AMT,50.41,110.19
AMZN,184.68,760.14
AN,28.35,47.16
ANTM,61.13,126.89
AON,44.01,108.93
APA,124.74,59.4
APC,74.88,57.77
APD,81.87789,140.17577
APH,25.955,61.29
ARNC,12.361329,7.196407
ATVI,11.97,42.29
AVB,109.21,169.69
AVGO,28.9,160.78
AVY,40.99,75.33
AWK,25.51,72.49
AXP,44.46,65.12
AYI,56.04,261.4
AZO,252.74,722.44
BA,69.09,128.53
BAC,14.4,15.74
BAX,26.730038,45.09
BBBY,48.75,43.48
BBT,26.44,38.2
BBY,35.91,36.87
BCR,91.05,213.55
BDX,83.06,171.0
BEN,37.643333,35.58
BHI,56.02,49.14
BIIB,66.9,296.1
BK,30.7,40.93
BLK,191.17,362.18
BLL,34.39,77.8
BMY,25.74,55.66
BSX,7.39,23.51
BWA,35.555,34.14
BXP,84.68,135.22
C,49.1,47.17
CA,24.51,33.07
CAG,17.642023,33.712063
CAH,39.24,78.81
CAT,93.39,80.79
CB,60.46,124.28
CBG,20.58,27.87
CBS,19.78,51.91
CCI,42.57,93.31
CCL,46.37,44.37
CELG,28.22,104.47
CERN,23.8225,62.22
CF,27.098,25.0
CFG,23.9,24.81
CHD,17.2875,47.39
CHK,25.506151,7.62
CHRW,79.58,68.9
CHTR,39.15,264.12
CI,39.28,128.45
CINF,31.87,75.5
CL,38.945,70.86
CLX,62.51,122.89
CMA,40.94,46.2
CMCSA,22.72,65.11
CME,62.974,106.05
CMG,223.67,426.55
CMI,111.04,116.81
CMS,18.74,41.31
CNC,13.89,66.85
CNP,15.74,22.61
COF,45.57,71.65
COG,9.4,26.06
COH,53.49,36.59
COL,60.2,81.35
COO,56.6,184.83
COP,50.983692,42.25
COST,70.48,150.7
COTY,15.16,24.25
CPB,34.6,54.95
CRM,35.66,74.2
CSCO,20.79,30.85
CSRA,28.09,26.2
CSX,22.66,27.89
CTAS,28.07,113.81
CTL,44.96,27.86
CTSH,37.67,55.23
CTXS,69.74,83.21
CVS,35.18,91.52
CVX,90.41,101.27
CXO,87.32,130.47
D,42.44,72.5
DAL,12.6,37.75
DD,46.562202,68.43
DE,84.58,82.23
DFS,19.12,58.74
DG,30.0,70.58
DGX,53.63,80.92
DHI,12.66,30.22
DHR,35.08719,77.02
DIS,39.5,92.42
DISCA,20.347471,24.55
DISCK,17.25,23.67
DLPH,38.81,68.01
DLR,52.44,96.27
DLTR,26.23,81.63
DNB,82.94,132.93
DOV,47.66805,69.05
DOW,35.5,53.41
DPS,35.08,89.84
DRI,46.26,61.45
DTE,46.14,91.0
DUK,52.739944,77.95
DVA,34.695,63.65
DVN,78.3,43.36
EA,16.01,79.86
EBAY,11.893939,31.89
ECL,49.5,118.68
ED,49.23,72.95
EFX,35.97,131.09
EIX,38.13,71.4
EL,40.66,87.55
EMN,44.135,64.69
EMR,57.18,50.86
ENDP,33.91,20.04
EOG,47.475,92.65
EQIX,85.88,362.78
EQR,50.26,62.8
EQT,45.95,72.54
ES,31.56,53.25
ESRX,56.33,71.13
ESS,113.36,219.97
ETFC,16.45,26.55
ETN,51.34,63.57
ETR,72.63,77.56
EVHC,33.5,22.62
EW,39.325,114.6
EXC,42.23,33.4
EXPD,54.08,50.57
EXPE,51.02,111.1
EXR,17.87,79.92
F,18.31,12.38
FAST,29.61,40.57
FB,31.3,127.1
FBHS,31.25,58.72
FCX,59.48,10.27
FDX,94.06,160.85
FE,38.25,32.64
FFIV,142.69,118.05
FIS,28.53,77.4
FISV,29.59,100.28
FITB,14.43,19.93
FL,19.3,64.59
FLIR,28.88,30.7
FLR,66.01,49.4
FLS,39.06333,46.24
FMC,38.315,44.86
FOX,14.44346,24.12
FOXA,12.915189,23.57
FRT,77.15,154.48
FSLR,136.43,37.13
FTI,42.98,27.81
FTR,9.51,4.56
FTV,49.95,50.55
GD,71.18,149.91
GE,18.51,30.11
GGP,14.56754,28.11
GILD,18.33,78.05
GIS,35.84,65.05
GLW,19.5,22.38
GM,38.56,30.48
GOOG,305.9587,759.66
GOOGL,307.4124,788.48
GPC,51.76,96.99
GPN,23.87,73.62
GPS,20.53,23.35
GRMN,30.47,47.44
GS,169.76,168.57
GT,13.13,30.26
GWW,132.66,222.45
HAL,38.17,41.95
HAR,45.57,80.93
HAS,45.98,79.93
HBAN,7.2,9.86
HBI,6.11,25.7
HCA,33.17,75.94
HCN,47.35,73.75
HCP,32.969036,34.726776
HD,34.39,127.74
HES,77.99,49.92
HIG,27.58,41.05
HOG,36.49,50.57
HOLX,18.76,37.16
HON,53.9,112.01
HP,48.56,59.83
HPE,13.26,20.92
HPQ,20.372387,14.07
HRB,12.66,21.94
HRL,12.465,36.01
HRS,47.34,90.86
HSIC,62.56,158.86
HST,18.32,16.2
HSY,48.31,96.18
HUM,55.81,176.5
IBM,147.64,155.69
ICE,22.818,56.45
IDXX,34.25,109.97
IFF,55.84,134.75
ILMN,65.95,164.85
INTC,20.69,35.44
INTU,47.75,109.25
IP,27.731762,47.71
IPG,11.17,22.38
IR,37.18051,63.1
IRM,22.90203,36.41
ISRG,271.58,676.22
ITW,54.37,115.78
IVZ,24.25,30.78
JBHT,41.87,77.85
JCI,45.11,45.7
JEC,45.88,50.15
JNJ,62.16,118.23
JNPR,37.61,23.16
JPM,43.4,66.65
JWN,42.15,49.7
K,51.05,77.13
KEY,8.66,12.26
KHC,72.27,85.97
KIM,17.83,28.96
KLAC,38.65,69.43
KMB,60.31639,122.96
KMI,37.1,22.12
KMX,32.42,55.23
KO,31.53,42.27
KORS,52.01,47.73
KR,10.765,31.51
KSS,52.27,42.89
KSU,52.17,93.16
L,40.01,41.21
LB,29.13,71.43
LEG,22.79,49.41
LEN,18.9,45.18
LH,89.12,135.02
LKQ,11.84,34.91
LLL,75.54,147.01
LLTC,34.57,57.7
LLY,34.49,78.24
LMT,73.59,237.94
LNC,29.19,46.97
LNT,18.545,37.15
LOW,24.31,71.77
LRCX,48.74,91.18
LUK,29.396297,18.98
LUV,13.3,37.34
LVLT,16.65,48.35
LYB,35.24,76.19
M,23.48,35.48
MA,23.02,98.15
MAA,61.86,92.51
MAC,46.84,80.03
MAR,38.19981,67.16
MAS,12.047452,33.26
MAT,23.9,31.73
MCD,73.56,114.58
MCHP,35.38,58.52
MCK,73.6,176.09
MCO,28.73,106.62
MDLZ,31.21,42.09
MDT,36.5,84.87
MET,45.44,43.91
MHK,57.35,203.53
MJN,61.06,77.58
MKC,45.51,96.18
MLM,82.67,175.0
MMC,26.82,65.99
MMM,87.15,175.64
MNK,56.74,73.07
MNST,8.923333,49.183334
MO,24.24,63.56
MON,71.37,106.78
MOS,75.58,27.01
MPC,31.395,42.24
MRK,37.2,62.49
MRO,23.353037,15.67
MSFT,28.22,56.21
MSI,38.53,76.65
MTB,86.1,117.09
MTD,150.52,388.8
MU,8.55,16.81
MUR,62.962,27.94
MYL,22.42,39.89
NAVI,10.0,14.23
NBL,41.17,36.08
NDAQ,23.46,68.98
NEE,52.92,120.86
NEM,57.75,39.3
NFLX,26.84,96.5
NFX,72.05,44.53
NI,7.1080556,23.37
NKE,21.0425,55.33
NLSN,30.9,52.0
NOC,60.471428,209.24
NOV,58.7917,33.15
NRG,19.77,11.6
NSC,65.61,90.78
NTAP,58.22,34.27
NTRS,54.71,68.95
NUE,43.75,46.83
NVDA,20.63,59.52
NWL,18.08,50.4
NWS,17.34,13.74
NWSA,17.4,13.36
O,33.71,64.26
OKE,24.33024,48.81
OMC,46.26,83.75
ORCL,31.04,40.03
ORLY,56.76,278.21
OXY,91.92899,76.11
PAYX,32.0,59.29
PBCT,14.03,16.08
PBI,23.88,17.78
PCAR,57.27,56.11
PCG,46.52,60.83
PCLN,440.56,1413.9
PDCO,31.21,45.02
PEG,31.6,41.13
PEP,66.05,104.05
PFE,18.26,34.1
PFG,32.33,48.37
PG,64.36,86.24
PGR,19.3,31.24
PH,87.25,120.78
PHM,8.2,20.04
PKI,25.79,52.75
PLD,32.69,51.49
PM,56.51,97.54
PNC,61.62,89.92
PNR,36.05,59.89
PNW,41.34,73.95
PPG,41.29,100.86
PPL,26.35,33.63
PRGO,66.26,88.71
PRU,59.87,79.18
PSA,101.12,218.58
PSX,51.51,77.86
PVH,61.79,107.15
PWR,21.42,25.32
PX,93.18,117.41
PXD,87.86,180.6
PYPL,33.04,38.01
QCOM,51.69,60.52
QRVO,44.22,52.48
R,52.45,64.95
RAI,16.615,47.15
RCL,47.96,65.98
REGN,33.15,384.43
RF,7.05,9.83
RHI,31.98,37.3
RHT,46.5,72.24
RIG,73.78,9.83
RL,107.59,100.74
ROK,72.4,112.5
ROP,75.07,176.06
ROST,16.0675,60.78
