sp.symbol,sc.sector,sc.security,sp.dt,sp.close
A,Health Care,Agilent Technologies Inc,9/9/2016,44.88
AAL,Industrials,American Airlines Group,9/9/2016,38.49
AAP,Consumer Discretionary,Advance Auto Parts,9/9/2016,152.96
AAPL,Information Technology,Apple Inc.,9/9/2016,103.13
ABBV,Health Care,AbbVie,9/9/2016,63.36
ABC,Health Care,AmerisourceBergen Corp,9/9/2016,85.31
ABT,Health Care,Abbott Laboratories,9/9/2016,41.01
ACN,Information Technology,Accenture plc,9/9/2016,110.39
ADBE,Information Technology,Adobe Systems Inc,9/9/2016,99.38
ADI,Information Technology,Analog Devices; Inc.,9/9/2016,59.62
ADM,Consumer Staples,Archer-Daniels-Midland Co,9/9/2016,42.02
ADP,Information Technology,Automatic Data Processing,9/9/2016,86.57
ADS,Information Technology,Alliance Data Systems,9/9/2016,208.66
ADSK,Information Technology,Autodesk Inc,9/9/2016,66.84
AEE,Utilities,Ameren Corp,9/9/2016,48.06
AEP,Utilities,American Electric Power,9/9/2016,63.71
AES,Utilities,AES Corp,9/9/2016,12.33
AET,Health Care,Aetna Inc,9/9/2016,115.55
AFL,Financials,AFLAC Inc,9/9/2016,72.4
AGN,Health Care,Allergan; Plc,9/9/2016,236.39
AIG,Financials,American International Group; Inc.,9/9/2016,58.67
AIV,Real Estate,Apartment Investment & Mgmt,9/9/2016,43.83
AIZ,Financials,Assurant Inc,9/9/2016,89.23
AJG,Financials,Arthur J. Gallagher & Co.,9/9/2016,49.17
AKAM,Information Technology,Akamai Technologies Inc,9/9/2016,52.5
ALB,Materials,Albemarle Corp,9/9/2016,76.82
ALK,Industrials,Alaska Air Group Inc,9/9/2016,68.86
ALL,Financials,Allstate Corp,9/9/2016,67.96
ALLE,Industrials,Allegion,9/9/2016,66.83
ALXN,Health Care,Alexion Pharmaceuticals,9/9/2016,124.92
AMAT,Information Technology,Applied Materials Inc,9/9/2016,28.86
AME,Industrials,AMETEK Inc,9/9/2016,47.78
AMG,Financials,Affiliated Managers Group Inc,9/9/2016,144.01
AMGN,Health Care,Amgen Inc,9/9/2016,166.55
AMP,Financials,Ameriprise Financial,9/9/2016,99.41
AMT,Real Estate,American Tower Corp A,9/9/2016,110.19
AMZN,Consumer Discretionary,Amazon.com Inc,9/9/2016,760.14
AN,Consumer Discretionary,AutoNation Inc,9/9/2016,47.16
ANTM,Health Care,Anthem Inc.,9/9/2016,126.89
AON,Financials,Aon plc,9/9/2016,108.93
APA,Energy,Apache Corporation,9/9/2016,59.4
APC,Energy,Anadarko Petroleum Corp,9/9/2016,57.77
APD,Materials,Air Products & Chemicals Inc,9/9/2016,140.17577
APH,Information Technology,Amphenol Corp,9/9/2016,61.29
ARNC,Industrials,Arconic Inc,9/9/2016,7.196407
ATVI,Information Technology,Activision Blizzard,9/9/2016,42.29
AVB,Real Estate,AvalonBay Communities; Inc.,9/9/2016,169.69
AVGO,Information Technology,Broadcom,9/9/2016,160.78
AVY,Materials,Avery Dennison Corp,9/9/2016,75.33
AWK,Utilities,American Water Works Company Inc,9/9/2016,72.49
AXP,Financials,American Express Co,9/9/2016,65.12
AYI,Industrials,Acuity Brands Inc,9/9/2016,261.4
AZO,Consumer Discretionary,AutoZone Inc,9/9/2016,722.44
BA,Industrials,Boeing Company,9/9/2016,128.53
BAC,Financials,Bank of America Corp,9/9/2016,15.74
BAX,Health Care,Baxter International Inc.,9/9/2016,45.09
BBBY,Consumer Discretionary,Bed Bath & Beyond,9/9/2016,43.48
BBT,Financials,BB&T Corporation,9/9/2016,38.2
BBY,Consumer Discretionary,Best Buy Co. Inc.,9/9/2016,36.87
BCR,Health Care,Bard (C.R.) Inc.,9/9/2016,213.55
BDX,Health Care,Becton Dickinson,9/9/2016,171.0
BEN,Financials,Franklin Resources,9/9/2016,35.58
BHI,Energy,Baker Hughes Inc,9/9/2016,49.14
BIIB,Health Care,BIOGEN IDEC Inc.,9/9/2016,296.1
BK,Financials,The Bank of New York Mellon Corp.,9/9/2016,40.93
BLK,Financials,BlackRock,9/9/2016,362.18
BLL,Materials,Ball Corp,9/9/2016,77.8
BMY,Health Care,Bristol-Myers Squibb,9/9/2016,55.66
BSX,Health Care,Boston Scientific,9/9/2016,23.51
BWA,Consumer Discretionary,BorgWarner,9/9/2016,34.14
BXP,Real Estate,Boston Properties,9/9/2016,135.22
C,Financials,Citigroup Inc.,9/9/2016,47.17
CA,Information Technology,CA; Inc.,9/9/2016,33.07
CAG,Consumer Staples,ConAgra Foods Inc.,9/9/2016,33.712063
CAH,Health Care,Cardinal Health Inc.,9/9/2016,78.81
CAT,Industrials,Caterpillar Inc.,9/9/2016,80.79
CB,Financials,Chubb Limited,9/9/2016,124.28
CBG,Real Estate,CBRE Group,9/9/2016,27.87
CBS,Consumer Discretionary,CBS Corp.,9/9/2016,51.91
CCI,Real Estate,Crown Castle International Corp.,9/9/2016,93.31
CCL,Consumer Discretionary,Carnival Corp.,9/9/2016,44.37
CELG,Health Care,Celgene Corp.,9/9/2016,104.47
CERN,Health Care,Cerner,9/9/2016,62.22
CF,Materials,CF Industries Holdings Inc,9/9/2016,25.0
CFG,Financials,Citizens Financial Group,9/9/2016,24.81
CHD,Consumer Staples,Church & Dwight,9/9/2016,47.39
CHK,Energy,Chesapeake Energy,9/9/2016,7.62
CHRW,Industrials,C. H. Robinson Worldwide,9/9/2016,68.9
CHTR,Consumer Discretionary,Charter Communications,9/9/2016,264.12
