symbol,max_close,min_close
A,48.44,19.291845
AAL,55.76,4.0
AAP,200.38,39.16
AAPL,133.0,27.435715
ABBV,71.23,33.71
ABC,115.48,25.77
ABT,51.2,21.66775
ACN,125.4,36.44
ADBE,110.81,22.69
ADI,74.53,26.5
ADM,53.71,24.16
ADP,103.45,33.89816
ADS,309.91,53.05
ADSK,81.74,22.95
AEE,53.77,23.59
AEP,71.27,30.97
AES,15.57,8.54
AET,134.9,25.99
AFL,74.28,31.46
AGN,339.5,37.69
AIG,66.7,20.07
AIV,47.59,15.21
AIZ,93.74,29.76
AJG,52.12,22.0
AKAM,78.36,18.65
ALB,91.8,34.86
ALK,91.56,7.835
ALL,74.58,22.68
ALLE,72.82,40.7
ALXN,207.84,22.75
AMAT,33.33,9.85
AME,57.5,16.071112
AMG,228.02,59.7
AMGN,176.59,48.27
AMP,137.81,35.83
AMT,117.84,38.86
AMZN,844.36,108.61
AN,66.2,17.59
ANTM,171.04,47.43
AON,115.95,35.62
APA,133.37,34.38
APC,112.69,30.54
APD,149.64,59.953747
APH,68.83,19.26
ARNC,23.823088,5.0524774
ATVI,45.47,10.01
AVB,191.0,73.21
AVGO,182.31,16.8
AVY,78.84,23.97
AWK,84.76,19.92
AXP,95.84,36.79
AYI,279.15,33.97
AZO,815.98,154.38
BA,158.31,56.18
BAC,23.16,4.99
BAX,49.16,21.982618
BBBY,80.48,35.96
BBT,47.71,19.17
BBY,49.31,11.29
BCR,239.0,76.18
BDX,181.55,66.89
BEN,58.84,28.323334
BHI,79.94,35.87
BIIB,475.98,46.22
BK,49.17,17.7
BLK,398.45,139.44
BLL,82.02,24.125
BMY,76.77,22.44
BSX,24.48,4.97
BWA,67.38,16.89
BXP,144.74,62.49
C,61.09,23.11
CA,34.85,17.96
CAG,39.85,16.451363
CAH,91.5,29.96
CAT,116.2,50.78
CB,133.32,47.5
CBG,38.92,12.16
CBS,67.55,12.67
CCI,102.56,34.82
CCL,55.14,29.42
CELG,139.01,24.51
CERN,75.0,18.2125
CF,68.92,11.712
CFG,36.46,18.14
CHD,51.67,14.9325
CHK,33.68969,1.59
CHRW,82.1,50.54
CHTR,292.19,29.5
CI,169.77,29.77
CINF,78.84,24.03
CL,75.27,36.875
CLX,139.24,59.17
CMA,70.03,21.98
CMCSA,71.02,15.21
CME,123.43,45.2
CMG,757.77,86.43
CMI,160.55,45.16
CMS,46.17,14.26
CNC,81.48,8.935
CNP,25.54,12.9
COF,91.71,34.63
COG,41.61,6.7475
COH,79.03,27.44
COL,99.0,44.89
COO,189.9,34.85
COP,86.76,31.88
COST,169.04,53.61
COTY,32.68,13.25
CPB,67.55,29.77
CRM,83.77,15.52
CSCO,31.87,13.73
CSRA,33.02,22.15
CSX,37.91,14.11
CTAS,120.71,23.66
CTL,46.8,22.24
CTSH,69.76,21.56
CTXS,92.06,41.15
CVS,113.45,26.98
CVX,134.85,67.31
CXO,148.0,42.86
D,80.23,36.27
DAL,52.26,6.62
DD,76.44824,30.569801
DE,103.92,48.96
DFS,73.18,12.43
DG,96.71,21.71
DGX,92.6,43.5
DHI,34.41,8.45
DHR,81.84,26.592115
DIS,121.69,29.0
DISCA,46.223812,14.246295
DISCK,43.61,12.665
DLPH,89.16,37.62
DLR,112.1,44.53
DLTR,98.12,15.706667
DNB,140.73,59.25
DOV,91.07,34.06639
DOW,59.08,21.51
DPS,98.51,26.84
DRI,78.94,33.88
DTE,100.1,41.5
DUK,89.36,46.829952
DVA,84.23,28.415
DVN,93.1,18.65
EA,85.56,10.95
EBAY,32.9,8.106061
ECL,124.05,41.33
ED,81.67,41.66
EFX,136.43,27.78
EIX,78.55,31.13
EL,97.13,24.175
EMN,90.2,25.815
EMR,70.26,40.69
ENDP,95.92,13.45
EOG,117.98,34.205
EQIX,389.45,70.34
EQR,81.97,31.86
EQT,109.84,32.54
ES,60.25,24.78
ESRX,94.08,35.71
ESS,244.29,77.66
ETFC,35.64,7.18
ETN,79.44,30.62
ETR,91.16,59.57
EVHC,71.75,18.97
EW,121.36,21.4525
EXC,49.66,25.46
EXPD,56.96,32.87
EXPE,137.31,27.89
EXR,94.38,11.08
F,18.79,8.92
FAST,54.65,20.605
FB,133.28,22.9
FBHS,64.04,30.59
FCX,60.92,3.74
FDX,201.02,65.15
