month,sc.sector,avg_percent_change
1/10/20,Real Estate,0.47
1/10/20,Health Care,0.36
1/10/20,Financials,0.33
1/10/20,Consumer Discretionary,0.29
1/10/20,Industrials,0.26
1/10/20,Materials,0.26
1/10/20,Information Technology,0.2
1/10/20,Consumer Staples,0.18
1/10/20,Energy,0.12
1/10/20,Utilities,0.09
1/10/20,Telecommunications Services,-0.26
1/11/20,Consumer Staples,0.12
1/11/20,Utilities,0.08
1/11/20,Real Estate,0.03
1/11/20,Financials,-0.01
1/11/20,Industrials,-0.06
1/11/20,Information Technology,-0.06
1/11/20,Consumer Discretionary,-0.1
1/11/20,Health Care,-0.13
1/11/20,Telecommunications Services,-0.28
1/11/20,Materials,-0.55
1/11/20,Energy,-1.14
1/12/20,Materials,0.25
1/12/20,Consumer Staples,0.07
1/12/20,Industrials,-0.14
1/12/20,Health Care,-0.15
1/12/20,Consumer Discretionary,-0.21
1/12/20,Information Technology,-0.29
1/12/20,Financials,-0.31
1/12/20,Telecommunications Services,-0.34
1/12/20,Utilities,-0.39
1/12/20,Real Estate,-0.56
1/12/20,Energy,-1.22
1/13/20,Real Estate,0.03
1/13/20,Utilities,-0.01
1/13/20,Consumer Staples,-0.34
1/13/20,Telecommunications Services,-0.61
1/13/20,Health Care,-0.67
1/13/20,Industrials,-0.71
1/13/20,Materials,-0.8
1/13/20,Financials,-0.85
1/13/20,Information Technology,-0.92
1/13/20,Consumer Discretionary,-1.07
1/13/20,Energy,-1.11
1/14/20,Energy,1.48
1/14/20,Health Care,0.95
1/14/20,Information Technology,0.82
1/14/20,Utilities,0.62
1/14/20,Industrials,0.6
1/14/20,Financials,0.58
1/14/20,Materials,0.48
1/14/20,Consumer Discretionary,0.44
1/14/20,Real Estate,0.4
1/14/20,Consumer Staples,0.39
1/14/20,Telecommunications Services,0.27
1/15/20,Real Estate,0.24
1/15/20,Materials,0.07
1/15/20,Consumer Staples,0.06
1/15/20,Utilities,0.05
1/15/20,Industrials,0.04
1/15/20,Financials,0.0
1/15/20,Health Care,-0.01
1/15/20,Consumer Discretionary,-0.17
1/15/20,Energy,-0.23
1/15/20,Information Technology,-0.32
1/15/20,Telecommunications Services,-0.37
1/16/20,Energy,1.45
1/16/20,Health Care,0.76
1/16/20,Information Technology,0.63
1/16/20,Materials,0.6
1/16/20,Industrials,0.53
1/16/20,Consumer Staples,0.53
1/16/20,Financials,0.52
1/16/20,Consumer Discretionary,0.48
1/16/20,Telecommunications Services,0.43
