headquarter,stock_count
New York; New York,47
Houston; Texas,19
Atlanta; Georgia,13
Dublin; Ireland,10
San Francisco; California,9
Chicago; Illinois,9
Denver; Colorado,6
Stamford; Connecticut,6
San Jose; California,6
Seattle; Washington,6
Irving; Texas,5
Cincinnati; Ohio,5
Philadelphia; Pennsylvania,4
Boston; Massachusetts,4
Miami; Florida,4
Columbus; Ohio,4
Pittsburgh; Pennsylvania,4
San Diego; California,4
Deerfield; Illinois,4
Minneapolis; Minnesota,4
Santa Clara; California,4
Cleveland; Ohio,4
Palo Alto; California,4
Mountain View; California,4
Sunnyvale; California,4
Dallas; Texas,4
Richmond; Virginia,4
Memphis; Tennessee,4
St. Paul; Minnesota,3
Bethesda; Maryland,3
Omaha; Nebraska,3
Winston-Salem; North Carolina,3
Milwaukee; Wisconsin,3
Baltimore; Maryland,3
Waltham; Massachusetts,3
Fort Worth; Texas,3
Phoenix; Arizona,3
Hartford; Connecticut,3
Indianapolis; Indiana,3
Louisville; Kentucky,3
Charlotte; North Carolina,3
Kansas City; Missouri,2
Tulsa; Oklahoma,2
North Chicago; Illinois,2
Cambridge; Massachusetts,2
Lake Forest; Illinois,2
Norwalk; Connecticut,2
London; United Kingdom,2
Fort Lauderdale; Florida,2
Oklahoma City; Oklahoma,2
Los Angeles; California,2
Framingham; Massachusetts,2
Detroit; Michigan,2
Plano; Texas,2
Pleasanton; California,2
Glendale; California,2
Providence; Rhode Island,2
Glenview; Illinois,2
Raleigh; North Carolina,2
Columbus; Georgia,2
Redwood City; California,2
Greensboro; North Carolina,2
Akron; Ohio,2
Menlo Park; California,2
Hamilton; Bermuda,2
Allentown; Pennsylvania,2
San Antonio; Texas,2
Milpitas; California,2
Santa Monica; California,2
Schaffhausen; Switzerland,2
Irvine; California,2
Silver Spring; Maryland,2
Bellevue; Washington,2
Broomfield; Colorado,2
Nashville; Tennessee,2
Birmingham; Alabama,2
Jacksonville; Florida,2
Falls Church; Virginia,2
Newark; New Jersey,2
Melville; New York,1
Amsterdam; Netherlands,1
Amsterdam; New York,1
Arlington; Virginia,1
Arlington; Virginia[3],1
Armonk; New York,1
Auburn Hills; Michigan,1
Austin; Minnesota,1
Austin; Texas,1
Baton Rouge; Louisiana,1
Battle Creek; Michigan,1
Benton Harbor; Michigan,1
Bentonville; Arkansas,1
Berwyn; Pennsylvania,1
